customer_id,annual_spending,visit_frequency,avg_transaction,loyalty_years
C0001,8404.62,55,124.61,8
C0002,8326.52,70,136.68,13
C0003,9105.45,75,149.96,15
C0004,7944.6,57,148.23,5
C0005,8899.37,52,119.77,13
C0006,9487.69,61,149.57,10
C0007,9405.51,56,175.52,13
C0008,6946.82,44,154.06,6
C0009,9308.06,68,111.71,14
C0010,7830.61,53,138.54,10
C0011,8392.91,69,139.15,6
C0012,10276.47,46,123.79,9
C0013,5556.96,75,167.67,6
C0014,6903.79,65,179.62,14
C0015,9740.03,54,137.68,14
C0016,5581.54,64,158.51,5
C0017,8379.14,71,147.39,15
C0018,9369.13,67,156.93,6
C0019,7932.61,76,185.5,12
C0020,9590.44,46,161.67,7
C0021,7803.51,71,162.57,10
C0022,10218.26,76,126.92,5
C0023,9589.4,41,163.1,5
C0024,8140.9,69,194.37,6
C0025,10668.45,46,88.74,7
C0026,8068.68,45,170.55,7
C0027,8173.52,54,155.81,15
C0028,6535.45,76,149.72,14
C0029,6452.74,78,167.7,6
C0030,6471.6,74,155.54,9
C0031,3118.61,15,119.57,6
C0032,3285.21,19,80.46,2
C0033,4886.5,31,101.98,3
C0034,2898.12,20,48.67,2
C0035,4251.38,29,74.07,5
C0036,2054.23,27,72.51,3
C0037,4331.32,23,59.81,4
C0038,4567.4,31,49.46,4
C0039,3291.4,23,92.05,4
C0040,3600.52,30,-2.35,7
C0041,3629.72,27,50.98,6
C0042,1438.94,23,68.66,5
C0043,5104.56,24,72.46,2
C0044,3443.29,19,89.22,4
C0045,4615.46,21,66.77,8
C0046,2629.33,33,66.4,2
C0047,1948.76,33,73.18,2
C0048,2546.85,23,51.39,8
C0049,4618.84,16,124.66,7
C0050,2386.51,27,77.25,2
C0051,3992.21,26,68.41,5
C0052,2712.93,15,53.91,2
C0053,2035.17,30,91.94,5
C0054,3735.22,17,56.03,5
C0055,3702.21,19,80.15,2
C0056,4500.73,23,66.42,8
C0057,3001.23,20,71.05,6
C0058,3766.36,16,74.6,6
C0059,4793.95,31,79.79,7
C0060,4678.57,21,94.22,6
C0061,2308.86,25,66.49,5
C0062,3617.72,28,102.89,6
C0063,2611.34,32,99.18,8
C0064,3913.87,21,109.09,8
C0065,1566.2,24,37.98,7
C0066,3143.46,35,64.11,5
C0067,3839.79,35,101.99,3
C0068,3462.19,20,115.67,4
C0069,2774.3,31,46.92,5
C0070,3254.47,18,102.47,5
C0071,872.11,6,37.05,1
C0072,1855.85,11,32.8,3
C0073,555.83,8,47.58,3
C0074,1513.96,12,21.1,3
C0075,1168.63,9,22.36,3
C0076,1729.4,8,23.87,3
C0077,1284.97,6,28.23,0
C0078,1334.11,6,37.39,3
C0079,569.12,11,38.86,0
C0080,648.22,7,33.13,2
C0081,351.81,7,22.86,2
C0082,1263.86,4,52.95,1
C0083,1501.24,7,45.83,2
C0084,1784.09,12,29.99,2
C0085,1030.89,7,31.94,3
C0086,852.38,3,23.95,3
C0087,1073.39,11,63.77,0
C0088,1859.09,3,26.96,3
C0089,1145.66,2,36.39,2
C0090,678.38,10,41.02,0
C0091,1329.28,10,27.03,1
C0092,297.85,2,24.59,1
C0093,1221.18,5,57.34,2
C0094,798.51,10,50.31,0
C0095,621.69,9,38.03,3
C0096,1185.47,9,37.5,3
C0097,928.21,11,16.01,3
C0098,1199.67,12,45.17,3
C0099,1074.6,10,67.03,2
C0100,989.52,9,26.59,2
