group,value
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,44.8642
A,51.1358
A,48.0000
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,56.8865
B,62.7935
B,59.8400
