gene,chrom,start,end,function
BRCA1,chr1,1000,16476,exon
TP53,chr1,17578,34727,intron
EGFR,chr1,36730,45387,exon
MYC,chr1,49403,56082,promoter
PTEN,chr1,60115,79732,promoter
KRAS,chr1,81088,95762,intron
ALK,chr1,96892,102380,exon
APC,chr1,104275,113086,promoter
CDKN2A,chr1,116551,121985,promoter
BRAF,chr1,123799,140530,promoter
BRCA1,chr2,1000,14928,intron
TP53,chr2,16830,29189,promoter
EGFR,chr2,31328,49589,exon
MYC,chr2,53697,71899,exon
PTEN,chr2,75758,87682,intron
KRAS,chr2,89820,97367,exon
ALK,chr2,102287,119796,intron
APC,chr2,121214,127733,intron
CDKN2A,chr2,129129,140010,intron
BRAF,chr2,143482,152815,exon
BRCA1,chr3,1000,13527,promoter
TP53,chr3,15038,26239,exon
EGFR,chr3,29500,39303,promoter
MYC,chr3,42836,62343,intron
PTEN,chr3,65707,73857,promoter
KRAS,chr3,75141,80891,promoter
ALK,chr3,82824,100489,intron
APC,chr3,101815,120828,exon
CDKN2A,chr3,125377,132031,intron
BRAF,chr3,134169,146597,promoter
BRCA1,chr4,1000,11977,exon
TP53,chr4,14493,25313,exon
EGFR,chr4,29058,38432,promoter
MYC,chr4,43268,59467,promoter
PTEN,chr4,60759,75739,promoter
KRAS,chr4,77439,91190,promoter
ALK,chr4,93192,100869,intron
APC,chr4,103423,112845,promoter
CDKN2A,chr4,116663,130788,exon
BRAF,chr4,134592,144905,exon
BRCA1,chr5,1000,19464,exon
TP53,chr5,23761,33929,intron
EGFR,chr5,36025,42109,exon
MYC,chr5,46849,61141,promoter
PTEN,chr5,63429,71912,promoter
KRAS,chr5,74956,86438,promoter
ALK,chr5,89317,96657,intron
APC,chr5,98228,107268,promoter
CDKN2A,chr5,110567,124397,intron
BRAF,chr5,128456,143033,intron
